text,label
We here report the first case of psoriatic arthritis which developed lung cancer.,0
"In addition, 13 other adults treated for chronic myeloid leukemia with various doses of CCNU were reviewed.",0
The patient who survived had been taking the lowest dose of azathioprine and was given the recommended dose of acyclovir.,0
Chronic use of ergot alkaloids has been recognized as a rare cause of lower extremity ischemia.,0
A bone marrow aspirate and biopsy confirmed the diagnosis of AA and suggested the existence of an immunological reaction at the level of marrow.,0
A fracture of the diffuser tip occurred during 1 of the treatments.,0
Rapid resolution of topiramate-induced angle-closure glaucoma with methylprednisolone and mannitol.,1
Ultrastructural evaluation were also performed in selected cases.,0
Fatal complication of intravesical formalin during control of intractable hemorrhage from radiation cystitis.,1
This syndrome generally occurs after a few weeks of therapy and may occur after L-asparaginase therapy is completed.,0
Mental nerve neuropathy as a result of hepatitis B vaccination.,1
We report the development of squamous-cell carcinoma within a basal-cell epithelioma that was treated with intralesional injections of 5-FU.,1
Surgeons and physicians should therefore be aware of the potential for RTA to occur with FK506 after any organ transplantation.,1
We report a case of portopulmonary hypertension in which the pulmonary hypertension resolved after initial orthotopic liver transplantation.,0
"In all cases, response to corticosteroids was unsatisfactory and three of these patients ultimately died from complications that ensued from prolonged immunosuppressive therapy.",0
Its prevalence in rheumatoid arthritis (RA) has been estimated from several retrospective and prospective studies to range from 0.3% to 18%.,0
We present a case of ethylenediamine-induced delayed hypersensitivity reaction in a 46-year-old woman who received parenteral aminophylline for an acute asthma exacerbation.,1
Therefore doses were adapted on the 3rd day of the course.,0
The following is a case report analysis intended to draw attention to the need for better care coordination by describing the observed relationship of olanzapine to metabolic changes manifested as uncontrolled diabetes mellitus and weight gain.,1
Our objective is to present a retrospective analysis of the DWI findings in four patients who suffered subacute neurotoxicity after intrathecal MTX.,1
"Here, we report a case of acute liver dysfunction complicated with uncontrollable glycemia due to insulin antibody.",0
"A punch biopsy showed the presence of KS, whereas a polymerase chain reaction assay documented the presence of human herpes virus type 8 (HHV8) DNA in the skin lesion.",0
Only nondepolarizing muscle relaxants should be used in patients who are at risk for mucositis.,0
There are reports of accelerated SSc syndromes associated in particular with breast cancer.,0
Hypersexuality with antiparkinsonian therapy.,0
Trazodone-induced transient hypomanic symptoms and their management.,1
Imidazoline intoxication due to overdose or accidental ingestion but also after normal therapeutic usage is frequent in children.,1
The present study retrospectively investigated the utility of a novel combination chemotherapy regimen for treating multifocal HCC resistant to TAE.,0
Malignant mixed mullerian tumor of the uterus in a patient taking raloxifene.,1
A case of tuberculosis in a patient on Efalizumab and Etanercept for treatment of refractory palmopustular psoriasis and psoriatic arthritis.,1
Gynecomastia developed in two epileptic patients some months after the addition of oral fluoresone 750 mg daily to the phenobarbital and phenytoin already being administered.,1
A small number of oxaliplatin-related hemolytic and/or thrombocytopenic reactions have been reported.,1
It cannot be assumed that the development of a mediastinal mass or its persistence following chemotherapy is due to recurrent or residual disease.,0
Vitamin B12 (cyanocobalamin) is an integral component of two biochemical reactions in man: the conversion of L-methylmalonyl coenzyme A into succinyl coenzyme A and the formation of methionine by methylation of homocysteine.,0
We report two cases with small cell lung cancer (SCLC) receiving multicyclic dose-intensified chemotherapy (DI-CT) supported by autologous blood progenitor cell transplantation (ABPCT).,0
Acute abdomen due to endometriosis in a premenopausal woman taking tamoxifen.,1
"Three patients had a complete remission, five had a partial remission, and four showed no improvements.",0
"However, dermatologists should be cautious about a photosensitivity reaction induced by mequitazine or other phenothiazine-derivative drugs.",1
In-vitro rechallenge of the patient's lymphocytes with cytochrome P-450 generated metabolites of phenobarbital showed extensive cytotoxicity compared to control.,0
One month later the patient remained symptom-free.,0
"An alternative preparation, methylprednisolone, was used to successfully treat her underlying condition.",0
Prosthetic joint infection is an infrequent but serious complication of total joint arthroplasty.,0
"As these cases revealed, close monitoring of blood chemistry is mandatory after starting spironolactone, and patients should be advised to stop spironolactone immediately if diarrhoea develops.",1
"The exacerbation of psoriasis was accompanied by a massive induction of lesional type I interferon activity, detected by MxA expression after imiquimod therapy.",1
"NCSE, an epileptic disorder in which typical convulsive activity is absent, has previously been reported in only 4 patients receiving ifosfamide.",1
"If anticonvulsants are employed, then they must be administered with caution, and all cutaneous reactions developing subsequently within the radiation site must be promptly evaluated with a high index of suspicion for erythema multiforme.",0
Clotrimazole is an antifungal agent that has been shown to have excellent in vitro activity against most strains of Acanthamoeba.,0
Chemotherapy-related hemolytic-uremic syndrome after the treatment of head and neck cancer.,0
"Cerebral blood flow and blood pressure monitoring, together with intensive antihypertensive therapy, are necessary to reduce the risk of hyperperfusion syndrome after vertebral stenting.",0
The authors describe two patients with this disease who initially had findings suggestive of an optic neuropathy.,0
Reversible heart failure in a patient receiving etanercept for ankylosing spondylitis.,1
We report the first case of hairy cell leukemia occurring after cardiac transplantation.,0
"Further study is needed to determine the incidence of subclinical membranous nephropathy in patients with rheumatoid arthritis, and the effect of drugs in triggering clinical manifestations of this condition.",0
The ECG showed atrial fibrillation with a rapid ventricular rate.,0
"She rapidly developed profound CNS depression with stupor, hypothermia, hypoventilation and bradycardia.",0
We report a case in a teenage female recently started on oral contraception.,0
"We propose that patients being treated with curative intent receive full-dose intensity, using body surface area calculated on actual body weight or on ideal body weight with dose escalations if tolerated.",0
"Definitive diagnosis was obtained after a mean period of 4.5 weeks (range, 12 days-8 weeks) from onset.",0
Drug-induced ocular pemphigoid has been reported to occur after long-term use of topical glaucoma medications.,0
Our experience with the two cases reported here has led us to propose guidelines for the treatment of initial PTE in a pediatric hematology unit.,0
"However, peripheral neuropathy and bone marrow depression led to linezolid withdrawal in seven patients, and neuropathy may not be fully reversible in all patients.",1
"Pure red cell aplasia (PRCA) is a rare complication after ABO-incompatible allogeneic stem cell transplantation, but its mechanism is still unknown.",0
Neuroleptic malignant syndrome (NMS) is a rare but potentially serious complication of neuroleptic drugs.,0
"Catheter directed thrombolysis has been described as a treatment for large pulmonary emboli resistant to systemic therapy [Kelly P, Carroll N, Grant C, Barrett C, Kocka V.",0
"The possible underlying neurotransmitter mechanisms, predisposing factors and clinical implications of this rare adverse event are discussed.",0
INTERVENTIONS AND RESULTS: Cardiac complications were observed in five pediatric patients who received between 4.6 and 40.8 mg/kg/d of amphotericin B.,1
A diagnosis of aquagenic syringeal palmar keratoderma was made on the basis of these clinical and histopathologic findings.,0
All of the patients and three of the carers recorded scores suggestive of psychiatric morbidity on the General Health Questionnaire.,0
About 45% of the total body amount can be extracted through a 3-h course of hemodialysis with resultant improvement in symptoms.,0
We present a case of chronic inflammatory demyelinating polyneuropathy occurring subsequent to influenza vaccination in a 74-year-old gentleman with no previous neurological history.,0
"In any patient with 'unexplained' muscle spasms or convulsions, strychnine poisoning should be included in the differential diagnosis and they should be asked about the use of herbal medicines.",0
CONCLUSION: Healthcare professionals should be aware of the possible development of serotonin syndrome as a complication of initiation of fentanyl and other phenylpiperidine opioids in patients treated with SSRIs.,1
"When both drugs were discontinued, his fever and rigidity subsided and biochemical irregularities spontaneously returned to normal, without any complications.",0
An autopsy case without intrathecal chemotherapy or irradiation of the brain.,0
"Lithium neurotoxicity should be considered in Creutzfeldt-Jakob disease differential diagnosis, serial electroencephalograms being the most valuable.",1
The patient survives with severe sequela which confirms slow progression as typical in nonAIDS cases.,0
"A worsening of ritualistic behavior was noted, and the clomipramine dosage was increased to 150 mg/d over 14 days.",0
Recent efforts have focused on heightened surveillance to detect contamination before transfusion to limit recipient morbidity and mortality.,0
We describe the development of cutaneous scleroderma in 3 patients coincident with the use of bleomycin in low cumulative doses of less than 100 U.,1
We encountered two girls with acute promyelocytic leukemia (APL) after living donor partial orthotopic liver transplantation.,0
"Both patients had Campylobacter jejuni enteritis, and one case was complicated by bacteraemia.",0
Terbutaline for chronotropic support in heart transplantation.,0
"CONCLUSION: Psychiatric illness should not rule out the possibility of interferon-based therapy, but it calls for close integration of psychiatric and medical care and individualized decision-making based on the biological and psychosocial circumstances of each case.",0
DESIGN: Case report.,0
These asymptomatic papules with a tendency to coalesce became more prominent with prolonged exposure (Figs 1 and 2).,0
"Antibiotic irrigation of the capsular bag can resolve chronic, low-grade endophthalmitis in culture-positive patients unresponsive to the same drugs administered by other routes, including conventional intraocular injection.",0
"The current report describes a man who was prescribed zonisamide for epilepsy and subsequently developed widespread skin rash, acute kidney injury, high-grade fever, eosinophilia, liver dysfunction, lymphadenopathy and an increase in antihuman herpesvirus-6 immunoglobulin G titer.",1
"On the 7th day, these values reached a maximum, i.e. 95 and 160% of the control, respectively.",0
These subjective sensory phenomena were not associated with sensory loss or autonomic or motor signs.,0
"In order to achieve complete anticoagulation, patients were switched to bivalirudin, which determined a prompt effect on measured ACT.",0
"These results provided consistent evidence that the selective absence of VWFMs with large to medium molecular masses in this patient is caused by the heightened clearance of a complex of IgG inhibitor and VWFMs from the circulation, presumably through IgG binding to the Fc receptor of macrophages.",0
Autoimmune thyroid disease is a common side-effect of interferon-alpha (IFN-alpha) treatment of viral hepatitis C.,1
"He was treated sequentially with prednisone and azathioprine (2 weeks), decreasing doses of prednisone alone (21 months), and no immunosuppressive drugs (10 months).",0
"We enrolled eight out of 155 patients with advanced melanoma in a multicentre phase II trial that evaluated the activity and tolerability of ipilimumab, a fully human, anti-CTLA-4 monoclonal antibody ( www.clinicaltrials.gov ; NCT00289627; CA184-008).",0
The level of ferritin in serum was elevated to 1192 ng/mL.,0
Steroid diabetes in children with Crohn disease.,0
Discontinuation of simvastatin and cyclosporine resulted in resolution of rhabdomyolysis and normalization of renal function.,1
"Although the manifestations are the same as those usually associated with the use of vincristine, in these cases the severity appears remarkable.",0
"One patient had a partial response ongoing at 17+ months on ipilimumab despite failure with four prior therapies, and the other two patients showed durable stable disease, both still ongoing at 17+ and 20+ months, respectively.",0
Acute INH toxicity should be suspected in children presenting with seizures with or without fever.,0
"RESULTS: The treatment regimen resulted in two complete regressions, five partial responses, and one mixed response, and two patients did not respond to the treatment.",0
Antibiotic lock technique.,0
Early recognition and aggressive treatment are necessary for patient survival.,0
"Inclusion of specific culture media and staining protocols for mycobacteria, along with aggressive treatment on diagnosis, including lifting or amputating the LASIK flap, culturing, topical fortified clarithromycin and amikacin, while avoiding corticosteroids, may significantly improve resolution of the infection and potentially improve the visual outcome.",0
DCF appears valuable as a second-line treatment in non-Hodgkin's lymphomas and as initial treatment in T-cell chronic lymphocytic leukaemia and mycosis fungoides.,0
Hormone therapy in men and risk of cardiac allograft rejection.,0
"At final follow-up, the patient complained of a grade 4/5 hemiparesis, facial nerve palsy, and hearing loss in his left ear.",0
One type of SMON is associated with acrodermatitis enteropathica which has a very high frequency of occurrence in association with administration of clioquinol.,1
"Two days later, the patient's QTc interval had decreased to 546 msec, and she was discharged home.",0
"Further study to confirm this significant finding and to determine if the long term prognosis of BP can be altered by the drug, is required.",0
"One patient had known atherosclerotic heart disease, and 2 patients had risk factors for coronary artery disease.",0
"Formation of these plugs was probably due to extensive tumor necrosis at the level of the walls of the major uterine veins, which resulted in an open exchange of tumor plugs to the vascular spaces; decrease in tumor tissue coherence secondary to chemotherapy may have further contributed to the formation of tumor emboli.",0
"Physicians in the United States, especially those who practice primary care, hematology/oncology, and infectious diseases, must be aware of the availability and use of metamizole in specific patient populations and its potential for harmful side effects.",0
"The temporal sequence of the respiratory insufficiency and the histopathology, when compared to the previous examples in the literature, suggest that cyclophosphamide was aetiologically responsible for the lung disease.",1
"This patient was using industrial strength glue to reattach a chipped tooth for approximately 1 year, and such use was associated with chronic exposure of his oral mucosa to this glue.",0
"After the correction of hyponatremia, due to the high liver enzyme levels, he was diagnosed as rhabdomyolysis.",0
"The most serious dental side effect of bisphosphonate treatment (particularly when it is administered intravenously) is, paradoxically, osteonecrosis of the mandible or the maxilla represented by exposed nonhealing bone.",1
We report a case of ruptured abdominal aortic aneurysm (AAA) in a patient receiving chemotherapy for pancreatic cancer.,0
She gradually recovered from these symptoms during subsequent 7 days.,0
After reviewing the literature we suggest the CPM was a complication of lithium toxicity which affected the lateral geniculate nucleus which produced blindness.,1
"Also, it appears that these patients may be more susceptible to complications with future disulfiram usage and should be strongly counseled to seek alternative therapies for their alcohol problems in the future.",0
"CONCLUSION: Since these drugs are used widely in the pediatric transplantation population, this report serves to heighten awareness of this debilitating phenomenon, and to stress the importance of exercising caution when sirolimus and tacrolimus are administered in combination to pediatric patients.",0
"However, it also highlights the importance of determining a patient's tuberculosis status, initiating prophylactic anti-tuberculosis therapy prior to starting treatment with etanercept, and setting up an adequate treatment regime if the patient develops active tuberculosis during therapy with etanercept.",0
She died within six weeks of developing congestive heart failure coupled with liver failure due to haemosiderosis despite regular use of desferrioxamine.,1
"The patient died suddenly, and the autopsy revealed pulmonary embolism originating from the deep vein thrombosis caused by the compression of common iliac vein by the tumor.",0
"The patient survived pulmonary leukostasis, resumed therapy, and achieved a CR.",0
"The combined use of central nervous system depressant drugs, together with her problematic sleep apnea, and snoring (both contraindications for GHB use) were determined to have caused this subject's death.",0
"Presence of hypertriglyceridemia, very high serum levels of ferritin and hemophagocytosis in a bone-marrow aspirate gave the diagnosis of HLH.",0
The valid risk factor for developing retinopathy is hypertension.,0
"Intravenous hydration with normal saline was initiated as the patient had normal kidney function, and urinary output was monitored.",0
"To our knowledge, this case is the first published report of levofloxacin-induced TEN.",1
"Liver abscess in patients with a VP shunt should be considered a possible abdominal complication of the VP shunt, and may be caused by unusual pathogens.",0
"PURPOSE: The intravitreal application of triamcinolone acetonide as treatment of long-standing, therapy-resistant cystoid macular edema after penetrating keratoplasty is reported.",0
"Amphotericin B (AmB) is effective, but its use is limited by toxicity: renal impairment, anaemia, fever, malaise, and hypokalaemia are common.",1
Reported are three children who developed progressive paraparesis after intrathecal methotrexate administration followed by complete or partial recovery.,1
"Infliximab and its serious adverse effects are discussed, and other cases of osteomyelitis with infliximab use are also reviewed.",1
Subsequent management with topical steroids was complicated as the patient was a steroid responder and developed a markedly raised intraocular pressure that was managed with a topical anti-glaucoma agent.,0
The safety and efficacy of enfuvirtide therapy for HIV infection in patients with hemophilia: a case series.,0
"Hospitalized patients with HIV disease (n = 42) during this same period, demonstrated an increased prevalence of QT, prolongation (28.6%, P = 0.002).",0
"Serum antinuclear antibodies were positive (1:640 speckled pattern), and anti-double-stranded DNA was positive (1:80); moreover, positivity of anti-extractable nuclear antigen was observed.",0
Three of 50 patients treated with isotretinoin (1 mg/kg/day) for cystic acne complained of poor night vision and/or excessive glare sensitivity.,1
METHODS: An extensive review of the English medical literature through the National Library of Medicine (PUBMED) was performed to identify patients who had received or continued to receive radiation therapy while on phenytoin.,0
Measured 25-hydroxyvitamin D (25-OH D) levels were elevated in three patients; levels were not determined in a fourth patient who became normocalcemic when vitamin D therapy was discontinued.,0
"A 62-year-old woman who was being treated for squamous cell carcinoma of the head and neck developed a chemotherapy-related hemolytic-uremic syndrome during the second cycle of neoadjuvant chemotherapy consisting of cisplatin, bleomycin, and methotrexate.",1
Clinical suspicion of ASPPC upon observation of these characteristic features is crucial for early diagnosis and treatment.,0
"Review of existing literature shows that in immunocompromised patients, GI cryptococcosis invariably coexists with disseminated cryptococcosis, often lacks prominent GI symptomatology, and is primarily diagnosed postmortem.",0
"Infliximab, a chimeric monoclonal antibody targeting tumor necrosis factor alpha (TNF-alpha), is efficacious in the treatment of rheumatoid arthritis and Crohn's disease.",0
"After therapy with parenteral amiodarone (2300 mg in 3 days) and other measures, signs of congestive heart failure disappeared; subsequently the patient developed jaundice, marked increase in serum transaminase levels and fall in prothrombin time, and histologic changes of severe centrilobular necrosis were observed in hepatic biopsy.",1
A lymphocyte stimulation test was reactive to pranlukast.,0
Cisapride for the treatment of nausea produced by selective serotonin reuptake inhibitors.,0
The crystalline lens was clear.,0
The evidence of high plasmatic levels of CBZ and the absence of other aetiologic factors lead the authors to conclude that the overdose of CBZ could have represented the precipitating of the episode of acute pancreatitis.,1
Methotrexate-induced hepatic necrosis requiring liver transplantation in a patient with rheumatoid arthritis.,1
"He was then scheduled to receive adjuvant chemotherapy with high-dose MTX, 12 g/m2 body surface area, followed by leucovorin rescue and ifosfamide.",0
"We feel that these results may be attributed to this specific growth factor combination, including ancestim, a cytokine known to act on primitive stem cells.",0
L-Carnitine supplementation has been recommended to prevent the fatal hepatotoxic effects associated with valproic acid.,1
The other author believes tympanoplasty should be performed prior to reconstruction (Dr.,0
Her immunoglobulins in serum were checked on PHT and after 15 years treatment with carbamazepine.,0
Tonic seizures occurred immediately and appeared to represent a paradoxical seizure exacerbation.,0
"Although the mechanism of the pressure rise is unknown, all eyes in our series were controlled with medical therapy.",0
Teratogenic effects in a case of maternal treatment for acute myelocytic leukaemia--neonatal and infantile course.,0
The case of a 4-year-old girl with valproate-induced stupor and electroencephalographic pattern of increased fast activity is reported.,1
DESIGN: Retrospective case review.,0
Philadelphia chromosome-positive acute lymphoblastic leukemia secondary to chemoradiotherapy for Ewing sarcoma.,0
Conversion to another immunosuppressant seems to be an appropriate procedure in this condition.,0
"As the number of cases of refractive surgery in Australia increases, optometrists will encounter this condition more frequently.",0
A 66-year-old female with chronic renal failure was referred to our hospital because of drowsiness and an acute deterioration of renal function.,0
"These differences necessitate close monitoring of hypothyroid patients, counseling these patients about the clinical signs of sub- and supratherapeutic levothyroxine dosages, and prudence when switching patients with stable hypothyroidism to alternative levothyroxine products.",0
"The pathogenesis, through retrograde spread of superficial infection to durocortical veins, is discussed in the light of serial CT scans at different stages of formation and treatment of the abscess.",0
CONCLUSION: The administration of tissue plasminogen activator was responsible for the large extent of hemorrhage and should be considered in the differential diagnosis of hemorrhagic choroidal detachment.,1
"We report the case of a 17-year-old male who developed chest pain, elevated cardiac biomarkers, and acute left ventricular dysfunction following a single dose of methylphenidate.",1
Ventricular free wall rupture remains the most serious complication after acute myocardial infarction.,0
Spinal cord compression induced by steroid therapy: CT findings.,0
Three-quarters of the acute cases recovered with full occupation capacity.,0
"She was unresponsive to standard therapies, including racemic epinephrine and albuterol nebulizers.",0
"A mentally retarded 23-year-old woman with myoclonic astatic epilepsy developed an abnormal posture of extreme forward flexion, called camptocormia, during valproate monotherapy.",1
RESULTS: Thirteen patients had died; 1 of these died of liver failure.,0
CONCLUSIONS: Our report describes a case of rhabdomyolysis possibly caused by C. mukul and underlines the need for active surveillance of natural products.,0
Awareness of this route of intoxication might be important in patients in whom neurologic or psychiatric symptoms develop while large amounts of lidocaine cream are being used.,1
Serum antidiuretic hormone (ADH) remained elevated at 0.59 pg/ml in spite of a significant reduction in serum osmolality to 254 mosm/kg.,0
"However, a common source for these infections could not be demonstrated.",0
"Findings of electrophysiologic study and cardiac magnetic resonance imaging were within normal limits, pointing to the ingestion of Aconitum as the most likely source of his arrhythmia.",0
"A patient using ziprasidone with polydipsia, seizure, hyponatremia and rhabdomyolysis.",0
"After administration of Oxybutynin concomitantly with an increase in the dose of Dantrolene, she presented the clinical symptoms and laboratory finding of Carbamazepine intoxication.",1
"Hormonal, ultrasonographic, radioiodine scanning and fine needle aspiration findings were consistent with the diagnosis of Hashimoto's thyroiditis.",0
Clinical improvement occurred with cessation of the benzodiazepines and the EEG showed a return to normal patterns.,0
CT scan of the brain was unremarkable.,0
A patient with a large hydatid cyst of the left lobe of the liver developed metabolic acidosis following rather liberal use of cetrimide-chlorhexidine solution as a scolicidal agent.,1
We report on a patient who developed the clinical findings of pulmonary eosinophilia.,0
PURPOSE: To report 4 cases of Toxoplasma gondii retinochoroiditis in patients having recently undergone cardiac transplantation.,0
At discharge she had no symptoms of heart failure.,0
"We suggest, however, that the case against the drugs alone has yet to be proved.",0
"A 62-year-old Japanese man who was positive for hepatitis B surface antigen (HBsAg) and anti-HBe antibody, underwent chemotherapy for non-Hodgkin's lymphoma (NHL).",0
One of the subjects who was using extemporaneous topical minoxidil had hypertension and arteriosclerotic disease and the other died of a myocardial infarction.,1
"While both amiodarone and digoxin can cause permanent visual changes, the ocular effects are often reversible.",1
"A 36-year-old man being treated with cisplatinum, vinblastine, and bleomycin for testicular carcinoma developed a dense left homonymous hemianopsia, encephalopathy, and a partial nondominant parietal lobe syndrome.",1
"In a single practice during the 21 years 1971-1991, the incidence of gestational diabetes in pregnancies in which norethisterone was prescribed was 32.4% (22 of 69) in comparison with 7.1% in pregnancies in which the women did not take norethisterone (137 of 1,684) (p < 0.001).",1
Thrombotic microangiopathy (TMA) is a serious toxicity associated with a small number of antineoplastic agents.,0
"Resolution of symptoms, physical signs and radiographic changes followed drug withdrawal and steroid therapy.",0
The methimazole was stopped and treatment with subcutaneous granulocyte colony-stimulating factor (G-CSF) was initiated.,0
We report 3 cases of ureteral obstruction following aortoiliac prosthetic graft surgery owing to secondary retroperitoneal fibrosis around anteriorly positioned ureters.,0
Chickenpox in adult renal transplant recipients.,0
"DISCUSSION: Patients with 5-FU-induced ectropion experience tender, red, scaled lids, making contact lens wear difficult.",1
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.",1
SIADH appeared to be transient and asymptomatic in our patients.,0
"The flares typically last for up to 3 days at a time, and most patients are completely asymptomatic between attacks; if untreated with prophylactic colchicine, some patients later develop amyloidosis and renal failure.",0
The prevalence of pregnancy loss in women with FMF is considered to be high.,0
She was successfully carried through pregnancy and delivered a normal child despite combination chemotherapy.,0
Most reactions develop cutaneously.,0
The two previously unreported adverse effects are a diffuse loss of color discrimination and an increased time course to complete dark adaptation.,0
The authors report a case of urinary incontinence (UI) that occurred in a woman after administration of venlafaxine.,1
CASE SUMMARY: A 22-year-old male was admitted after a motor vehicle crash.,0
Prospective randomized combination trials similar to the Intergroup Rhabdomyosarcoma Study in the pediatric population are necessary to better understand and manage these potentially curable sarcomas.,0
Ampicillin trihydrate aggravated the symptoms of two myasthenic patients.,0
CONCLUSIONS: This case report showed that the clinical appearance of Hashimoto's disease after IFN-alpha therapy for chronic C hepatitis in our patient was associated with a specific genetic predisposition (DR5) for this pathology.,1
SUMMARY AND CONCLUSION: The case presented shows the rare occurrence of the congenital absence of an IVC with pelvic thrombosis in a young female with a history of menorrhagia and new onset of pelvic pain.,0
A patient with Wegener's granulomatosis rapidly developed a circumferential subglottic stenosis while on a cyclophosphamide regimen that had caused resolution of systemic symptoms and pulmonary infiltrates.,1
"After 6 weeks of therapy, the patient developed an unexplained fever.",0
Acute myocardial infarction associated with systemic lupus erythematosus documented by coronary arteriograms.,0
Immediately after application of 80 mg pyridoxine fits stopped and the EEG was without seizure activity.,0
The first patient was a 61-year-old man with a 30-year history of fistulizing CD in whom B-cell non-Hodgkin's lymphoma was diagnosed 9 months after treatment with infliximab.,1
Methadone withdrawal when starting an antiretroviral regimen including nevirapine.,0
"Pancreatic autoantibody tests were negative before the start of therapy, but a significant increase in glutamic acid decarboxylase (GAD) antibody titer was seen after 24 weeks of treatment.",0
This regimen led to a significant and long-lasting reduction of proteinuria.,0
"On admission, serum calcium and albumin was 3.5 mg/dl and 3.7 g/dl respectively.",0
"In contrast, ultrarapid metabolizers with multiple CYP2D6 genes might require high doses of such drugs for optimal therapy.",0
This is the first reported case of hepatolithiasis during octreotide therapy.,1
Linear IgA bullous dermatosis occurring after carbamazepine.,1
Caution with use of cimetidine in tolazoline induced upper gastrointestinal bleeding.,1
The patient had a long history of constipation with daily use of mineral oil.,0
METHODS: Five patients with recurrent haze after myopic PRK were retreated with phototherapeutic keratectomy and topical thiotepa.,0
"Adalimumab, a fully human, immunoglobulin G1 monoclonal antibody that binds to tumor necrosis factor, has been approved for the treatment of moderate-to-severe psoriasis, in the U.S., Europe and elsewhere.",0
"We report three cases of ehrlichiosis in pediatric oncology patients, one of whom was a stem cell transplant recipient.",0
Leishmania infantum leishmaniasis in corticosteroid--treated patients.,1
INTRODUCTION: We are reporting a case of bladder contracture post intravesical bacillus Calmette-Guerin (BCG) therapy; to our knowledge only two cases were reported.,0
"Blood biochemistry revealed severe liver dysfunction, although no markers including hepatitis virus or autoantibodies associated with autoimmune liver diseases were detected.",0
"Treatment included induction chemotherapy in preparation for a bone marrow transplant, which resulted in the disappearance of the cutaneous lesions.",0
Amiodarone is well recognized as an anti-arrhythmic drug containing a high dose of iodine with considerable potential to cause thyroid dysfunction.,1
Delayed bowel injury is an infrequently observed complication of chromic phosphate administration.,1
"One initially received diethylstilbene followed by estradiol, 80 mg monthly, and finally estramustin, 140 mg twice daily.",0
"All of the studies were carried out at the University of Pittsburgh Medical Center, Department of Pathology, Neuropathology Division.",0
"In one case, PVT occurred in the absence of HVOD in a patient with pre-existing periportal lymphomatous infiltration.",0
"Muscle involvement is also common, although it usually remains asymptomatic.",0
These cases and others quoted indicate that dependence on pressurized aerosol bronchodilators can and does occur in young people.,0
Furosemide-associated fever.,1
Cutaneous fragility induced by hypercorticism is an important cofactor permitting direct inoculation from the environment.,0
A 55- year-old man had been followed for chronic hepatitis B infection for 10 years at another institution.,0
"RESULTS: A well-documented case report involving tap (draft) beer consumed while on an MAOI supports an earlier study, which recommended that all tap beers be restricted on MAOI diets.",0
SMS 201-995 was also effective in suppressing thyroid-stimulating hormone (TSH) and thyroid hormone secretion in a patient with mild thyrotoxicosis due to non-tumoural inappropriate TSH hypersecretion.,0
"We present the case of a patient who had undergone cholecystectomy previously, but in whom morphine given in the Emergency Department precipitated pain consistent with biliary colic; the pain resolved promptly after administration of naloxone.",1
"Atypical mycobacterial infections of the musculoskeletal system are very rare and are generally associated with predisposing factors, such as trauma, use of corticosteroids, or an immunocompromised state.",0
"Two patients received no further anticoagulation, and two received continuous heparin within 24 hr of implant to maintain activated clotting times of 140-150 sec.",0
We have described three patients with hepatitis C for whom IFN-alpha and ribavirin were prescribed and who developed two successive phases of silent thyroiditis followed by hyperthryroidism relapse due to Graves' disease.,1
